code,name,market,Industry
FLG^U,Flagstar Financial Inc. Bifurcated Option Note Unit SecuritiES,US,
FLGC,Flora Growth Corp. Common Stock,US,Biotechnology: Pharmaceutical Preparations
FLGT,Fulgent Genetics Inc. Common Stock,US,Medical Specialities
FLIC,First of Long Island Corporation (The) Common Stock,US,Major Banks
FLL,Full House Resorts Inc. Common Stock,US,Hotels/Resorts
FLNC,Fluence Energy Inc. Class A Common Stock,US,Industrial Machinery/Components
FLNG,FLEX LNG Ltd. Ordinary Shares,US,Marine Transportation
FLNT,Fluent Inc. Common Stock,US,Advertising
FLO,Flowers Foods Inc. Common Stock,US,Packaged Foods
FLOC,Flowco Holdings Inc. Class A Common Stock,US,Metal Fabrications
FLR,Fluor Corporation Common Stock,US,Military/Government/Technical
FLS,Flowserve Corporation Common Stock,US,Fluid Controls
FLUT,Flutter Entertainment plc Ordinary Shares,US,Computer Software: Programming Data Processing
FLUX,Flux Power Holdings Inc. Common Stock,US,Industrial Machinery/Components
FLWS,1-800-FLOWERS.COM Inc. Common Stock,US,Other Specialty Stores
FLX,BingEx Limited American Depositary Shares,US,Trucking Freight/Courier Services
FLXS,Flexsteel Industries Inc. Common Stock,US,Home Furnishings
FLYE,Fly-E Group Inc. Common Stock,US,Aerospace
FLYW,Flywire Corporation Voting Common Stock,US,Business Services
FLYX,flyExclusive Inc. Class A Common Stock,US,Transportation Services
FMAO,Farmers & Merchants Bancorp Inc. Common Stock,US,Savings Institutions
FMBH,First Mid Bancshares Inc. Common Stock,US,Major Banks
FMC,FMC Corporation Common Stock,US,Major Chemicals
FMN,Federated Hermes Premier Municipal Income Fund,US,Investment Managers
FMNB,Farmers National Banc Corp. Common Stock,US,Major Banks
FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),US,Misc Health and Biotechnology Services
FMST,Foremost Clean Energy Ltd. Common Shares,US,Other Metals and Minerals
FMTO,Femto Technologies Inc. Common Stock,US,Computer Software: Prepackaged Software
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,US,Beverages (Production/Distribution)
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest,US,Finance/Investors Services
FN,Fabrinet Ordinary Shares,US,Telecommunications Equipment
FNA,Paragon 28 Inc. Common Stock,US,Medical/Dental Instruments
FNB,F.N.B. Corporation Common Stock,US,Major Banks
FND,Floor & Decor Holdings Inc. Common Stock,US,RETAIL: Building Materials
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,US,Specialty Insurers
FNGR,FingerMotion Inc. Common Stock,US,Computer Software: Prepackaged Software
FNKO,Funko Inc. Class A Common Stock,US,Recreational Games/Products/Toys
FNLC,First Bancorp Inc  (ME) Common Stock,US,Major Banks
FNV,Franco-Nevada Corporation,US,Precious Metals
FNWB,First Northwest Bancorp Common Stock,US,Banks
FNWD,Finward Bancorp Common Stock,US,Major Banks
FOA,Finance of America Companies Inc. Class A Common Stock,US,Finance: Consumer Services
FOF,Cohen & Steers Closed-End Opportunity Fund Inc. Common Stock,US,Investment Managers
FOLD,Amicus Therapeutics Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
FONR,Fonar Corporation Common Stock,US,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FOR,Forestar Group Inc Common Stock ,US,Real Estate
FORA,Forian Inc. Common Stock,US,EDP Services
FORD,Forward Industries Inc. Common Stock,US,Plastic Products
FORL,Four Leaf Acquisition Corporation Class A Common Stock,US,Blank Checks
FORM,FormFactor Inc. FormFactor Inc. Common Stock,US,Semiconductors
FORR,Forrester Research Inc. Common Stock,US,Diversified Commercial Services
FORTY,Formula Systems (1985) Ltd. American Depositary Shares,US,EDP Services
FOSL,Fossil Group Inc. Common Stock,US,Consumer Specialties
FOSLL,Fossil Group Inc. 7% Senior Notes due 2026,US,Consumer Specialties
FOUR,Shift4 Payments Inc. Class A Common Stock,US,Business Services
FOX,Fox Corporation Class B Common Stock,US,Broadcasting
FOXA,Fox Corporation Class A Common Stock,US,Broadcasting
FOXF,Fox Factory Holding Corp. Common Stock,US,Motor Vehicles
FOXO,FOXO Technologies Inc. Class A Common Stock,US,Life Insurance
FOXX,Foxx Development Holdings Inc. Common Stock,US,Computer Communications Equipment
FOXXW,Foxx Development Holdings Inc. Warrant,US,Computer Communications Equipment
FPAY,FlexShopper Inc. Common Stock,US,Diversified Commercial Services
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest,US,Trusts Except Educational Religious and Charitable
FPH,Five Point Holdings LLC Class A Common Shares,US,Real Estate
FPI,Farmland Partners Inc. Common Stock,US,Real Estate Investment Trusts
FR,First Industrial Realty Trust Inc. Common Stock,US,Real Estate Investment Trusts
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,US,Investment Bankers/Brokers/Service
FRAF,Franklin Financial Services Corporation Common Stock,US,Major Banks
FRBA,First Bank Common Stock,US,Commercial Banks
FRD,Friedman Industries Inc. Common Stock,US,Steel/Iron Ore
FRGE,Forge Global Holdings Inc. Common Stock,US,Investment Bankers/Brokers/Service
FRGT,Freight Technologies Inc. Ordinary Shares,US,Professional Services
FRHC,Freedom Holding Corp. Common Stock,US,Investment Bankers/Brokers/Service
FRME,First Merchants Corporation Common Stock,US,Major Banks
FRMEP,First Merchants Corporation Depository Shares,US,Major Banks
FRO,Frontline Plc Ordinary Shares,US,Marine Transportation
FROG,JFrog Ltd. Ordinary Shares,US,Computer Software: Prepackaged Software
FRPH,FRP Holdings Inc. Common Stock,US,Real Estate
FRPT,Freshpet Inc. Common Stock,US,Packaged Foods
FRSH,Freshworks Inc. Class A Common Stock,US,Computer Software: Prepackaged Software
FRST,Primis Financial Corp. Common Stock,US,Major Banks
FRSX,Foresight Autonomous Holdings Ltd. American Depositary Shares,US,Computer Software: Prepackaged Software
FRT,Federal Realty Investment Trust Common Stock,US,Real Estate Investment Trusts
FRT^C,Federal Realty Investment Trust Depositary Shares each representing a 1/1000th interest in a 5.000% Series C Cumulative Redeemable Preferred Share,US,
FSBC,Five Star Bancorp Common Stock,US,Major Banks
FSBW,FS Bancorp Inc. Common Stock,US,Banks
FSCO,FS Credit Opportunities Corp. Common Stock,US,Trusts Except Educational Religious and Charitable
FSEA,First Seacoast Bancorp Inc. Common Stock,US,Savings Institutions
FSFG,First Savings Financial Group Inc. Common Stock,US,Savings Institutions
FSHP,Flag Ship Acquisition Corp. Ordinary Shares,US,
FSHPU,Flag Ship Acquisition Corp. Unit,US,
FSI,Flexible Solutions International Inc. Common Stock (CDA),US,Major Chemicals
FSK,FS KKR Capital Corp. Common Stock,US,Investment Managers
FSLR,First Solar Inc. Common Stock,US,Semiconductors
FSLY,Fastly Inc. Class A Common Stock,US,Computer Software: Prepackaged Software
FSM,Fortuna Mining Corp. Common Shares,US,Precious Metals
FSP,Franklin Street Properties Corp. Common Stock,US,Real Estate Investment Trusts
FSS,Federal Signal Corporation Common Stock,US,Auto Manufacturing
FSTR,L.B. Foster Company Common Stock,US,Metal Fabrications
FSUN,FirstSun Capital Bancorp Common Stock,US,Major Banks
FSV,FirstService Corporation Common Shares,US,Real Estate
FT,Franklin Universal Trust Common Stock,US,Trusts Except Educational Religious and Charitable
FTAI,FTAI Aviation Ltd. Common Stock,US,Misc Corporate Leasing Services
FTAIM,FTAI Aviation Ltd. 9.500% Fixed-Rate Reset Series D Cumulative Perpetual Redeemable Preferred Shares,US,Misc Corporate Leasing Services
FTAIN,FTAI Aviation Ltd. 8.25% Fixed - Rate Reset Series C Cumulative Perpetual Redeemable Preferred Shares,US,Misc Corporate Leasing Services
FTCI,FTC Solar Inc. Common Stock,US,Semiconductors
FTDR,Frontdoor Inc. Common Stock,US,Diversified Commercial Services
FTEK,Fuel Tech Inc. Common Stock,US,Pollution Control Equipment
FTEL,Fitell Corporation Ordinary Shares,US,Recreational Games/Products/Toys
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,US,Finance/Investors Services
FTFT,Future FinTech Group Inc. Common Stock,US,Business Services
FTHM,Fathom Holdings Inc. Common Stock,US,Real Estate
FTHY,First Trust High Yield Opportunities 2027 Term Fund Common Stock,US,Investment Managers
FTI,TechnipFMC plc Ordinary Share,US,Metal Fabrications
FTK,Flotek Industries Inc. Common Stock,US,Major Chemicals
FTLF,FitLife Brands Inc. Common Stock,US, Medicinal Chemicals and Botanical Products 
FTNT,Fortinet Inc. Common Stock,US,Computer peripheral equipment
FTRE,Fortrea Holdings Inc. Common Stock,US,Medical Specialities
FTS,Fortis Inc. Common Shares,US,Electric Utilities: Central
FTV,Fortive Corporation Common Stock ,US,Industrial Machinery/Components
FUBO,fuboTV Inc. Common Stock,US,Movies/Entertainment
FUFU,BitFuFu Inc. Class A Ordinary Shares,US,Finance: Consumer Services
FUFUW,BitFuFu Inc. Warrant,US,Finance: Consumer Services
FUL,H. B. Fuller Company Common Stock,US,Home Furnishings
FULC,Fulcrum Therapeutics Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
FULT,Fulton Financial Corporation Common Stock,US,Major Banks
FULTP,Fulton Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,US,Major Banks
FUN,Six Flags Entertainment Corporation Common Stock New,US,Services-Misc. Amusement & Recreation
FUNC,First United Corporation Common Stock,US,Major Banks
FUND,Sprott Focus Trust Inc. Common Stock,US,Investment Managers
FURY,Fury Gold Mines Limited Common Shares,US,Precious Metals
FUSB,First US Bancshares Inc. Common Stock,US,Major Banks
FUTU,Futu Holdings Limited American Depositary Shares,US,Investment Bankers/Brokers/Service
FVCB,FVCBankcorp Inc. Common Stock,US,Major Banks
FVR,FrontView REIT Inc. Common Stock,US,Real Estate Investment Trusts
FVRR,Fiverr International Ltd. Ordinary Shares no par value,US,Business Services
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,US,Broadcasting
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,US,Broadcasting
FWRD,Forward Air Corporation Common Stock,US,Oil Refining/Marketing
FWRG,First Watch Restaurant Group Inc. Common Stock,US,Restaurants
FXNC,First National Corporation Common Stock,US,Major Banks
FYBR,Frontier Communications Parent Inc. Common Stock,US,Telecommunications Equipment
G,Genpact Limited Common Stock,US,Professional Services
GAB,Gabelli Equity Trust Inc. (The) Common Stock,US,Investment Managers
GAB^G,Gabelli Equity Trust Inc. (The) Series G Cumulative Preferred Stock,US,
GAB^H,Gabelli Equity Trust Inc. (The) Pfd Ser H,US,
GAB^K,Gabelli Equity Trust Inc. (The) 5.00% Series K Cumulative Preferred Stock,US,
GABC,German American Bancorp Inc. Common Stock,US,Major Banks
GAIA,Gaia Inc. Class A Common Stock,US,Movies/Entertainment
GAIN,Gladstone Investment Corporation Business Development Company,US,Finance: Consumer Services
GAINI,Gladstone Investment Corporation 7.875% Notes due 2030,US,Finance: Consumer Services
GAINL,Gladstone Investment Corporation 8.00% Notes due 2028,US,Finance: Consumer Services
GAINN,Gladstone Investment Corporation 5.00% Notes Due 2026,US,Finance: Consumer Services
GAINZ,Gladstone Investment Corporation 4.875% Notes due 2028,US,Finance: Consumer Services
GALT,Galectin Therapeutics Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GAM,General American Investors Inc. Common Stock,US,Investment Managers
GAM^B,General American Investors Company Inc. Cumulative Preferred Stock,US,
GAMB,Gambling.com Group Limited Ordinary Shares,US,Services-Misc. Amusement & Recreation
GAME,GameSquare Holdings Inc. Common Stock,US,Services-Misc. Amusement & Recreation
GAN,GAN Limited Ordinary Shares,US,Computer Software: Programming Data Processing
GANX,Gain Therapeutics Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GAP,Gap Inc. (The) Common Stock,US,Clothing/Shoe/Accessory Stores
GASS,StealthGas Inc. Common Stock,US,Marine Transportation
GATX,GATX Corporation Common Stock,US,Transportation Services
GAU,Galiano Gold Inc.,US,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GAUZ,Gauzy Ltd. Ordinary Shares,US,Industrial Machinery/Components
GB,Global Blue Group Holding AG Ordinary Shares,US,EDP Services
GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,US,Investment Managers
GBBK,Global Blockchain Acquisition Corp. Common Stock,US,Blank Checks
GBBKR,Global Blockchain Acquisition Corp. Right,US,Blank Checks
GBBKW,Global Blockchain Acquisition Corp. Warrant,US,Blank Checks
GBCI,Glacier Bancorp Inc. Common Stock,US,Major Banks
GBDC,Golub Capital BDC Inc. Common Stock,US,Finance: Consumer Services
GBIO,Generation Bio Co. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GBLI,Global Indemnity Group LLC Class A Common Stock (DE),US,Property-Casualty Insurers
GBR,New Concept Energy Inc Common Stock,US,Oil & Gas Production
GBTG,Global Business Travel Group Inc. Class A Common Stock,US,Transportation Services
GBX,Greenbrier Companies Inc. (The) Common Stock,US,Railroads
GCBC,Greene County Bancorp Inc. Common Stock,US,Banks
GCI,Gannett Co. Inc. Common Stock,US,Newspapers/Magazines
GCL,GCL Global Holdings Ltd Ordinary Shares,US,Computer Software: Prepackaged Software
GCMG,GCM Grosvenor Inc. Class A Common Stock,US,Investment Managers
GCMGW,GCM Grosvenor Inc. Warrant,US,Investment Managers
GCO,Genesco Inc. Common Stock,US,Clothing/Shoe/Accessory Stores
GCT,GigaCloud Technology Inc Class A Ordinary Shares,US,Catalog/Specialty Distribution
GCTK,GlucoTrack Inc. Common Stock,US,Medical/Dental Instruments
GCTS,GCT Semiconductor Holding Inc. Common Stock,US,Semiconductors
GCV,Gabelli Convertible and Income Securities Fund Inc. (The) Common Stock,US,Finance/Investors Services
GD,General Dynamics Corporation Common Stock,US,Marine Transportation
GDC,GD Culture Group Limited Common Stock,US,Steel/Iron Ore
GDDY,GoDaddy Inc. Class A Common Stock,US,EDP Services
GDEN,Golden Entertainment Inc. Common Stock,US,Services-Misc. Amusement & Recreation
GDEV,GDEV Inc. Ordinary Shares,US,EDP Services
GDEVW,GDEV Inc. Warrant,US,EDP Services
GDHG,Golden Heaven Group Holdings Ltd. Class A Ordinary Shares,US,Services-Misc. Amusement & Recreation
GDL,GDL Fund The Common Shares of Beneficial Interest,US,Investment Managers
GDO,Western Asset Global Corporate Opportunity Fund Inc. Common Stock,US,Finance Companies
GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,US,Finance: Consumer Services
GDRX,GoodRx Holdings Inc. Class A Common Stock,US,EDP Services
GDS,GDS Holdings Limited ADS,US,Computer Software: Programming Data Processing
GDTC,CytoMed Therapeutics Limited Ordinary Shares,US,Biotechnology: Pharmaceutical Preparations
GDV,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,US,Investment Managers
GDV^H,The Gabelli Dividend & Income Trust 5.375% Series H Cumulative Preferred Shares,US,
GDV^K,The Gabelli Dividend & Income Trust 4.250% Series K Cumulative Preferred Shares,US,
GDYN,Grid Dynamics Holdings Inc. Class A Common Stock,US,Computer Software: Prepackaged Software
GE,GE Aerospace Common Stock,US,Consumer Electronics/Appliances
GECC,Great Elm Capital Corp. Common Stock,US,Finance: Consumer Services
GECCH,Great Elm Capital Corp. 8.125% Notes Due 2029,US,
GECCI,Great Elm Capital Corp. 8.50% NOTES DUE 2029,US,Finance Companies
GECCO,Great Elm Capital Corp. 5.875% Notes due 2026,US,Finance Companies
GECCZ,Great Elm Capital Corp. 8.75% Notes due 2028,US,Finance Companies
GEF,Greif Inc. Class A Common Stock,US,
GEG,Great Elm Group Inc. Common Stock,US,Computer Software: Prepackaged Software
GEGGL,Great Elm Group Inc.  7.25% Notes due 2027,US,Finance: Consumer Services
GEHC,GE HealthCare Technologies Inc. Common Stock ,US,Medical Electronics
GEL,Genesis Energy L.P. Common Units,US,Oil Refining/Marketing
GELS,Gelteq Limited Ordinary Shares,US,Biotechnology: Pharmaceutical Preparations
GEN,Gen Digital Inc. Common Stock,US,Computer Software: Prepackaged Software
GENC,Gencor Industries Inc. Common Stock,US,Construction/Ag Equipment/Trucks
GENI,Genius Sports Limited Ordinary Shares,US,Services-Misc. Amusement & Recreation
GENK,GEN Restaurant Group Inc. Class A Common Stock,US,Restaurants
GEO,Geo Group Inc (The) REIT,US,Homebuilding
GEOS,Geospace Technologies Corporation Common Stock (Texas),US,Industrial Machinery/Components
GERN,Geron Corporation Common Stock,US,Biotechnology: Pharmaceutical Preparations
GES,Guess? Inc. Common Stock,US,Apparel
GETY,Getty Images Holdings Inc. Class A Common Stock,US,Business Services
GEV,GE Vernova Inc. Common Stock,US,
GEVO,Gevo Inc. Common Stock,US,Major Chemicals
GF,New Germany Fund Inc. (The) Common Stock,US,Investment Managers
GFAI,Guardforce AI Co. Limited Ordinary Shares,US,Diversified Commercial Services
GFAIW,Guardforce AI Co. Limited Warrant,US,Diversified Commercial Services
GFF,Griffon Corporation Common Stock,US,Building Products
GFI,Gold Fields Limited American Depositary Shares,US,Precious Metals
GFL,GFL Environmental Inc. Subordinate voting shares no par value,US,Environmental Services
GFR,Greenfire Resources Ltd. Common Shares,US,Oil & Gas Production
GFS,GlobalFoundries Inc. Ordinary Shares,US,Semiconductors
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,US,Commercial Banks
GGB,Gerdau S.A. Common Stock,US,Steel/Iron Ore
GGG,Graco Inc. Common Stock,US,Fluid Controls
GGN,GAMCO Global Gold Natural Resources & Income Trust,US,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,US,
GGR,Gogoro Inc. Ordinary Shares,US,Auto Manufacturing
GGROW,Gogoro Inc. Warrant,US,Auto Manufacturing
GGT,Gabelli Multi-Media Trust Inc. (The) Common Stock,US,Trusts Except Educational Religious and Charitable
GGT^E,Gabelli Multi-Media Trust Inc. (The) 5.125% Series E Cumulative Preferred Stock,US,
GGZ,Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest,US,Investment Managers
GH,Guardant Health Inc. Common Stock,US,Medical Specialities
GHC,Graham Holdings Company Common Stock,US,Other Consumer Services
GHG,GreenTree Hospitality Group Ltd. American depositary shares each representing one Class A ordinary share,US,Hotels/Resorts
GHI,Greystone Housing Impact Investors LP Beneficial Unit Certificates representing assignments of limited partnership interests,US,Finance: Consumer Services
GHLD,Guild Holdings Company Class A Common Stock,US,Finance: Consumer Services
GHM,Graham Corporation Common Stock,US,Industrial Machinery/Components
GHRS,GH Research PLC Ordinary Shares,US,Biotechnology: Pharmaceutical Preparations
GHY,PGIM Global High Yield Fund Inc.,US,Trusts Except Educational Religious and Charitable
GIB,CGI Inc. Common Stock,US,Professional Services
GIC,Global Industrial Company Common Stock,US,Industrial Machinery/Components
GIFI,Gulf Island Fabrication Inc. Common Stock,US,Metal Fabrications
GIFT,Giftify Inc. Common Stock,US,Catalog/Specialty Distribution
GIGM,GigaMedia Limited Ordinary Shares,US,Computer Software: Programming Data Processing
GIII,G-III Apparel Group LTD. Common Stock,US,Apparel
GIL,Gildan Activewear Inc. Class A Sub. Vot. Common Stock,US,Apparel
GILD,Gilead Sciences Inc. Common Stock,US,Biotechnology: Biological Products (No Diagnostic Substances)
GILT,Gilat Satellite Networks Ltd. Ordinary Shares,US,Radio And Television Broadcasting And Communications Equipment
GIPR,Generation Income Properties Inc. Common Stock,US,Real Estate Investment Trusts
GIS,General Mills Inc. Common Stock,US,Packaged Foods
GITS,Global Interactive Technologies Inc. Common Stock,US,Computer Software: Programming Data Processing
GJH,Synthetic Fixed-Income Securities Inc 6.375% (STRATS) Cl A-1,US,Finance: Consumer Services
GJP,Synthetic Fixed-Income Securities Inc. on behalf of STRATS (SM) Trust for Dominion Resources Inc. Securities Series 2005-6 Floating Rate Structured Repackaged Asset-Backed Trust Securities (STRATS) Certificates,US,Finance: Consumer Services
GJR,Synthetic Fixed-Income Securities Inc. STRATS Trust for Procter&Gamble Securities Series 2006-1,US,Finance: Consumer Services
GJS,Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities Series 2006-2,US,Finance: Consumer Services
GJT,Synthetic Fixed-Income Securities Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities Certificates Series 2006-3,US,Finance: Consumer Services
GKOS,Glaukos Corporation Common Stock,US,Medical/Dental Instruments
GL,Globe Life Inc. Common Stock,US,Life Insurance
GL^D,Globe Life Inc. 4.25% Junior Subordinated Debentures due 2061,US,
GLAD,Gladstone Capital Corporation Common Stock,US,Textiles
GLADZ,Gladstone Capital Corporation 7.75% Notes due 2028,US,
GLBE,Global-E Online Ltd. Ordinary Shares,US,Computer Software: Prepackaged Software
GLBS,Globus Maritime Limited Common Stock,US,Marine Transportation
GLBZ,Glen Burnie Bancorp Common Stock,US,Major Banks
GLDD,Great Lakes Dredge & Dock Corporation Common Stock,US,Military/Government/Technical
GLDG,GoldMining Inc. Common Shares,US,Precious Metals
GLE,Global Engine Group Holding Limited Class A Ordinary Shares,US,EDP Services
GLMD,Galmed Pharmaceuticals Ltd. Ordinary Shares,US,Biotechnology: Pharmaceutical Preparations
GLNG,Golar Lng Ltd,US,Marine Transportation
GLO,Clough Global Opportunities Fund Common Stock,US,Finance/Investors Services
GLOB,Globant S.A. Common Shares,US,EDP Services
GLOP^A,GasLog Partners LP 8.625% Series A Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,US,
GLOP^B,GasLog Partners LP 8.200% Series B Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,US,
GLOP^C,GasLog Partners LP 8.500% Series C Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,US,
GLP,Global Partners LP Common Units representing Limited Partner Interests,US,Oil Refining/Marketing
GLP^B,Global Partners LP 9.50% Series B Fixed Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,US,
GLPG,Galapagos NV American Depositary Shares,US,Biotechnology: Pharmaceutical Preparations
GLPI,Gaming and Leisure Properties Inc. Common Stock,US,Real Estate Investment Trusts
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,US,Finance/Investors Services
GLRE,Greenlight Capital Re Ltd. Class A Ordinary Shares,US,Property-Casualty Insurers
GLSI,Greenwich LifeSciences Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GLTO,Galecto Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,US,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,US,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,US,
GLUE,Monte Rosa Therapeutics Inc. Common Stock,US,Biotechnology: Biological Products (No Diagnostic Substances)
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,US,Finance/Investors Services
GLW,Corning Incorporated Common Stock,US,Telecommunications Equipment
GLXG,Galaxy Payroll Group Limited Class A Ordinary Shares,US,Diversified Commercial Services
GLYC,GlycoMimetics Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GM,General Motors Company Common Stock,US,Auto Manufacturing
GMAB,Genmab A/S ADS,US,Biotechnology: Pharmaceutical Preparations
GME,GameStop Corporation Common Stock,US,Electronics Distribution
GMED,Globus Medical Inc. Class A Common Stock,US,Medical/Dental Instruments
GMGI,Golden Matrix Group Inc. Common Stock,US,Computer Software: Prepackaged Software
GMHS,Gamehaus Holdings Inc. Class A Ordinary Shares,US,EDP Services
GMM,Global Mofy AI Limited Class A Ordinary Shares,US,Computer Software: Programming Data Processing
GMRE,Global Medical REIT Inc. Common Stock,US,Real Estate Investment Trusts
GMRE^A,Global Medical REIT Inc. Series A Cumulative Redeemable Preferred Stock,US,
GMS,GMS Inc. Common Stock,US,RETAIL: Building Materials
GNE,Genie Energy Ltd. Class B Common Stock Stock,US,Power Generation
GNFT,GENFIT S.A. American Depositary Shares,US,Biotechnology: Biological Products (No Diagnostic Substances)
GNK,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands),US,Marine Transportation
GNL,Global Net Lease Inc. Common Stock,US,Real Estate Investment Trusts
GNL^A,Global Net Lease Inc. 7.25% Series A Cumulative Redeemable Preferred Stock $0.01 par value per share,US,
GNL^B,Global Net Lease Inc. 6.875% Series B Cumulative Redeemable Perpetual Preferred Stock,US,
GNL^D,Global Net Lease Inc. 7.50% Series D Cumulative Redeemable Perpetual Preferred Stock,US,
GNL^E,Global Net Lease Inc. 7.375% Series E Cumulative Redeemable Perpetual Preferred Stock,US,
GNLN,Greenlane Holdings Inc. Class A Common Stock,US,Durable Goods
GNLX,Genelux Corporation Common Stock,US,Biotechnology: Pharmaceutical Preparations
GNPX,Genprex Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GNRC,Generac Holdlings Inc. Common Stock,US,Metal Fabrications
GNS,Genius Group Limited Ordinary Shares,US,Services-Misc. Amusement & Recreation
GNSS,Genasys Inc. Common Stock,US,Consumer Electronics/Appliances
GNT,GAMCO Natural Resources Gold & Income Trust,US,Finance/Investors Services
GNT^A,GAMCO Natural Resources Gold & Income Tust  5.20% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),US,
GNTA,Genenta Science S.p.A. American Depositary Shares,US,Biotechnology: Biological Products (No Diagnostic Substances)
GNTX,Gentex Corporation Common Stock,US,Auto Parts:O.E.M.
GNTY,Guaranty Bancshares Inc. Common Stock,US,Major Banks
GNW,Genworth Financial Inc Common Stock,US,Life Insurance
GO,Grocery Outlet Holding Corp. Common Stock,US,Food Chains
GOCO,GoHealth Inc. Class A Common Stock,US,Specialty Insurers
GOF,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest,US,Finance/Investors Services
GOGL,Golden Ocean Group Limited Common Stock,US,Marine Transportation
GOGO,Gogo Inc. Common Stock,US,Telecommunications Equipment
GOLD,Barrick Gold Corporation Common Stock (BC),US,Precious Metals
GOLF,Acushnet Holdings Corp. Common Stock,US,Recreational Games/Products/Toys
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,US,Real Estate
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,US,Real Estate
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,US,Real Estate
GOOG,Alphabet Inc. Class C Capital Stock,US,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,US,Computer Software: Programming Data Processing
GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,US,Apparel
GORO,Gold Resource Corporation Common Stock,US,Precious Metals
GORV,Lazydays Holdings Inc. Common Stock,US,Retail-Auto Dealers and Gas Stations
GOSS,Gossamer Bio Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GOTU,Gaotu Techedu Inc. American Depositary Shares,US,Other Consumer Services
GOVX,GeoVax Labs Inc. Common Stock,US,Biotechnology: Pharmaceutical Preparations
GOVXW,GeoVax Labs Inc. Warrants,US,Biotechnology: Pharmaceutical Preparations
GP,GreenPower Motor Company Inc. Common Shares,US,Construction/Ag Equipment/Trucks
GPAT,GP-Act III Acquisition Corp. Class A Ordinary Share,US,
GPC,Genuine Parts Company Common Stock,US,Automotive Aftermarket
GPCR,Structure Therapeutics Inc. American Depositary Shares,US,Biotechnology: Pharmaceutical Preparations
GPI,Group 1 Automotive Inc. Common Stock,US,Retail-Auto Dealers and Gas Stations
GPJA,Georgia Power Company Series 2017A 5.00% Junior Subordinated Notes due October 1 2077,US,Electric Utilities: Central
GPK,Graphic Packaging Holding Company,US,Containers/Packaging
GPMT,Granite Point Mortgage Trust Inc. Common Stock,US,Real Estate Investment Trusts
